anon_id,doc_id,trade_no,currency,side,timeframe,entry_datetime_jst,entry_price,exit_datetime_jst,exit_price,pips,result,image_path,confidence,note
T-226EA9DE,D-46524F3C,9,XAUUSD,buy,1H,2024-11-20 08:05,2610.90,2024-11-25 10:25,2696.70,858,win,chart_pattern_work/extracted_images/D-46524F3C_trade09_img011.png,high,
T-BB1229AC,D-4C7E6392,3,GBPJPY,buy,1H,2024-10-02 23:08,193.293,2024-10-03 14:45,193.253,-40,loss,chart_pattern_work/extracted_images/D-4C7E6392_trade03_img005.png,high,
T-BB1229AC,D-4C7E6392,4,GBPJPY,sell,1H,2024-10-04 13:24,191.911,2024-10-04 18:41,192.73,-81.9,loss,chart_pattern_work/extracted_images/D-4C7E6392_trade04_img007.png,medium,pips欄-817は数量込みか誤記・価格差は約-82pips
T-F3E844E3,D-63AC10CB,3,EURNZD,sell,4H,2024-09-23 12:30,1.78734,2024-09-25 21:00,1.77829,90.3,win,chart_pattern_work/extracted_images/D-63AC10CB_trade03_img005.png,high,主要軸1H/4H
T-F3E844E3,D-63AC10CB,5,AUDJPY,buy,4H,2024-10-07 07:46,101.353,2024-10-08 03:46,99.88,-147,loss,chart_pattern_work/extracted_images/D-63AC10CB_trade05_img010.png,low,pips欄147だが買い101.353→99.88で下落=損失・価格はチャート(約100)とズレ要確認
T-73218711,D-6E45C69E,2,XAUUSD,buy,1H,2024-10-17 19:25,2686.71,2024-10-23 22:16,2735.00,482.9,win,chart_pattern_work/extracted_images/D-6E45C69E_trade02_img004.png,high,
T-73218711,D-6E45C69E,3,GBPJPY,buy,1H,2024-10-28 10:07,198.989,2024-10-28 19:32,197.90,-108.5,loss,chart_pattern_work/extracted_images/D-6E45C69E_trade03_img006.png,high,
T-73218711,D-6E45C69E,4,XAUUSD,buy,1H,2024-10-28 16:10,2755.69,2024-10-30 21:16,2774.50,188.1,win,chart_pattern_work/extracted_images/D-6E45C69E_trade04_img009.png,high,
T-73218711,D-6E45C69E,5,GBPJPY,buy,1H,2024-10-30 05:24,199.565,2024-10-30 19:08,198.73,-83.3,loss,chart_pattern_work/extracted_images/D-6E45C69E_trade05_img011.png,high,
T-37A4026E,D-70B473C4,3,GBPUSD,buy,1H,2024-09-17 13:00,1.3211,2024-09-17 23:00,1.3190,-28.6,loss,chart_pattern_work/extracted_images/D-70B473C4_trade03_img005.png,medium,価格表記13211/1319.00を1.3211/1.3190に正規化
T-37A4026E,D-70B473C4,8,GBPJPY,buy,1H,2024-09-23 07:40,191.87,2024-09-23 16:00,191.4,-47,loss,chart_pattern_work/extracted_images/D-70B473C4_trade08_img014.png,high,
T-B06CFFB4,D-75718625,2,XAUUSD,buy,1H,2024-10-17 22:00,2689.92,2024-10-24 00:00,2709.94,200.2,win,chart_pattern_work/extracted_images/D-75718625_trade02_img004.png,medium,時刻は22時台/0時台の概算
T-B06CFFB4,D-75718625,6,XAUUSD,buy,1H,2024-11-22 10:00,2677.23,2024-11-25 23:00,2654.86,-223.7,loss,chart_pattern_work/extracted_images/D-75718625_trade06_img013.png,medium,時刻は10時台/23時台の概算
T-5601242C,D-759B85C8,1,XAUUSD,buy,1H,2024-11-25 08:00,2713.68,2024-11-25 13:00,2673.17,-405.1,loss,chart_pattern_work/extracted_images/D-759B85C8_trade01_img001.png,high,通貨表記GOLD
T-5601242C,D-759B85C8,2,XAUUSD,buy,1H,2024-12-12 07:00,2719.42,2024-12-13 04:00,2683.97,-354.5,loss,chart_pattern_work/extracted_images/D-759B85C8_trade02_img003.png,high,通貨表記GOLD
T-5601242C,D-759B85C8,3,XAUUSD,buy,1H,2025-01-22 09:00,2744.05,2025-02-06 16:00,2859.06,1150.1,win,chart_pattern_work/extracted_images/D-759B85C8_trade03_img005.png,high,
T-5601242C,D-759B85C8,4,XAUUSD,buy,1H,2025-02-11 09:00,2918.15,2025-02-12 20:00,2883.48,-346.7,loss,chart_pattern_work/extracted_images/D-759B85C8_trade04_img007.png,high,
T-5601242C,D-759B85C8,5,GBPJPY,sell,1H,2025-02-11 09:00,187.428,2025-02-12 04:00,189.39,-196.1,loss,chart_pattern_work/extracted_images/D-759B85C8_trade05_img009.png,high,
T-52F898E3,D-78261F85,3,EURJPY,buy,1H,2024-09-20 15:55,159.058,2024-09-23 15:25,160.69,164,win,chart_pattern_work/extracted_images/D-78261F85_trade03_img007.png,high,
T-52F898E3,D-78261F85,4,EURJPY,buy,1H,2024-09-26 10:35,161.503,2024-09-27 15:20,160.66,-85,loss,chart_pattern_work/extracted_images/D-78261F85_trade04_img010.png,medium,決済価格169.66は160.66の誤記と推定(pips-85と整合)
T-C3FDDE26,D-7A09B042,1,XAUUSD,buy,1H,2024-12-11 15:22,2695.74,2024-12-12 08:18,2689.59,-61.5,loss,chart_pattern_work/extracted_images/D-7A09B042_trade01_img001.png,high,価格はカンマ小数表記を正規化
T-226EA9DE,D-7E327A4E,1,XAUUSD,buy,1H,2025-01-09 19:41,2667.70,2025-01-20 08:40,2696.39,286.9,win,chart_pattern_work/extracted_images/D-7E327A4E_trade01_img001.png,high,
T-226EA9DE,D-7E327A4E,2,XAUUSD,buy,1H,2025-01-21 22:03,2729.50,2025-01-27 13:00,2756.90,274,win,chart_pattern_work/extracted_images/D-7E327A4E_trade02_img003.png,high,
T-226EA9DE,D-7E327A4E,3,XAUUSD,buy,1H,2025-01-31 13:05,2795.30,2025-02-06 17:07,2853.30,580,win,chart_pattern_work/extracted_images/D-7E327A4E_trade03_img005.png,high,
T-226EA9DE,D-7E327A4E,4,GBPJPY,sell,1H,2025-02-06 21:41,188.43,2025-02-12 09:02,190.30,-187,loss,chart_pattern_work/extracted_images/D-7E327A4E_trade04_img007.png,high,
T-CB5714CD,D-7E7E9A52,1,USDJPY,buy,1H,2024-09-18 08:00,142.081,2024-09-18 08:39,141.9,-18.1,loss,chart_pattern_work/extracted_images/D-7E7E9A52_trade01_img001.png,high,
T-CB5714CD,D-7E7E9A52,2,USDJPY,sell,1H,2024-09-23 17:25,143.455,2024-09-23 17:31,143.60,-14.6,loss,chart_pattern_work/extracted_images/D-7E7E9A52_trade02_img003.png,high,
T-CB5714CD,D-7E7E9A52,3,USDJPY,buy,1H,2024-10-01 10:12,144.027,2024-10-01 10:25,143.92,-10.5,loss,chart_pattern_work/extracted_images/D-7E7E9A52_trade03_img007.png,high,
T-CB5714CD,D-7E7E9A52,6,USDJPY,sell,1H,2024-10-02 16:56,144.088,2024-10-02 17:31,144.21,-11.9,loss,chart_pattern_work/extracted_images/D-7E7E9A52_trade06_img009.png,high,
T-CB5714CD,D-7E7E9A52,10,USDJPY,sell,1H,2024-10-07 16:38,148.2,2024-10-07 17:52,148.35,-14.7,loss,chart_pattern_work/extracted_images/D-7E7E9A52_trade10_img012.png,high,
T-262D039D,D-7F83B807,1,GBPJPY,sell,1H,2024-09-17 10:00,185.50,2024-09-18 06:00,187.53,-203,loss,chart_pattern_work/extracted_images/D-7F83B807_trade01_img001.png,high,
T-262D039D,D-7F83B807,4,GBPJPY,buy,1H,2024-10-01 09:00,192.30,2024-10-01 22:30,190.90,-140,loss,chart_pattern_work/extracted_images/D-7F83B807_trade04_img007.png,high,
T-262D039D,D-7F83B807,6,GBPJPY,buy,1H,2024-10-04 21:00,193.10,2024-10-07 22:00,193.50,40,win,chart_pattern_work/extracted_images/D-7F83B807_trade06_img009.png,high,
T-B53DB4FB,D-8A7E702C,2,XAUUSD,buy,1H,2024-10-17 15:40,2685.000,2024-10-23 22:03,2739.600,54.6,win,chart_pattern_work/extracted_images/D-8A7E702C_trade02_img004.png,high,
T-B53DB4FB,D-8A7E702C,5,XAUUSD,sell,1H,2024-11-06 21:32,2695.700,2024-11-07 22:23,2681.000,14.7,win,chart_pattern_work/extracted_images/D-8A7E702C_trade05_img008.png,high,
T-B53DB4FB,D-8A7E702C,6,XAUUSD,sell,1H,2024-11-14 01:34,2588.000,2024-11-18 10:30,2595.000,-7,loss,chart_pattern_work/extracted_images/D-8A7E702C_trade06_img011.png,high,
T-B53DB4FB,D-8A7E702C,7,XAUUSD,buy,1H,2024-11-19 08:56,2613.000,2024-11-25 12:26,2681.000,68,win,chart_pattern_work/extracted_images/D-8A7E702C_trade07_img013.png,high,
T-76069C8F,D-9AA35653,1,XAUUSD,buy,1H,2025-01-21 22:49,2727.42,2025-01-23 22:16,2743.62,162,win,chart_pattern_work/extracted_images/D-9AA35653_trade01_img001.png,high,
T-76069C8F,D-9AA35653,3,GBPJPY,buy,1H,2025-02-12 08:00,190.156,2025-02-12 22:00,190.967,80,win,chart_pattern_work/extracted_images/D-9AA35653_trade03_img005.png,high,
T-76069C8F,D-9AA35653,4,GBPJPY,sell,1H,2025-02-20 07:00,190.487,2025-02-21 03:00,189.244,124.3,win,chart_pattern_work/extracted_images/D-9AA35653_trade04_img007.png,medium,決済日表記2025/1/21はエントリー2/20より前で矛盾・翌日2/21と推定
T-56884632,D-A282AF60,1,GBPJPY,buy,1H,2024-10-23 09:48,196.42,2024-10-24 15:17,196.83,41,win,chart_pattern_work/extracted_images/D-A282AF60_trade01_img001.png,high,
T-56884632,D-A282AF60,2,GBPJPY,buy,1H,2024-10-29 20:47,199.349,2024-10-30 19:18,198.703,-65,loss,chart_pattern_work/extracted_images/D-A282AF60_trade02_img006.png,high,
T-56884632,D-A282AF60,3,GBPJPY,sell,1H,2024-11-19 18:24,193.949,2024-11-20 08:41,196.302,-235,loss,chart_pattern_work/extracted_images/D-A282AF60_trade03_img008.png,high,
T-C3FDDE26,D-A484CD47,5,EURUSD,buy,1H,2024-09-25 22:26,1.12062,2024-09-25 23:46,1.11717,-34.5,loss,chart_pattern_work/extracted_images/D-A484CD47_trade05_img008.png,medium,価格はカンマ表記を正規化
T-C3FDDE26,D-A484CD47,7,GBPJPY,buy,1H,2024-10-01 13:44,193.124,2024-10-01 17:03,192.174,-95,loss,chart_pattern_work/extracted_images/D-A484CD47_trade07_img014.png,medium,pips表記*-9,5は-95と解釈(価格差-0.95)・カンマ価格を正規化
T-0EE69571,D-A976D05B,1,USDJPY,sell,1H,2024-09-16 18:00,140.2,2024-09-17 08:00,141.00,-80,loss,chart_pattern_work/extracted_images/D-A976D05B_trade01_img001.png,high,
T-0EE69571,D-A976D05B,2,USDJPY,buy,1H,2024-09-19 05:12,142.39,2024-09-19 07:26,141.90,-49,loss,chart_pattern_work/extracted_images/D-A976D05B_trade02_img003.png,high,
T-0EE69571,D-A976D05B,4,USDJPY,buy,1H,2024-10-03 08:15,146.7,2024-10-04 14:33,146.10,-60,loss,chart_pattern_work/extracted_images/D-A976D05B_trade04_img008.png,high,
T-0EE69571,D-A976D05B,5,GBPJPY,buy,1H,2024-10-10 12:16,195.08,2024-10-10 21:08,194.60,-48,loss,chart_pattern_work/extracted_images/D-A976D05B_trade05_img011.png,high,
T-5401AB3A,D-B3A916C1,6,GBPJPY,buy,1H,2024-10-23 04:18,196.128,2024-10-24 13:15,196.81,69,win,chart_pattern_work/extracted_images/D-B3A916C1_trade06_img009.png,high,
T-5401AB3A,D-B3A916C1,9,XAUUSD,buy,1H,2024-11-19 08:29,2612.14,2024-11-25 23:15,2654.96,428,win,chart_pattern_work/extracted_images/D-B3A916C1_trade09_img013.png,medium,分割エントリー(2本目11/21 08:54@2652.48)・1本目を記録
T-5401AB3A,D-B3A916C1,10,GBPJPY,sell,1H,2024-11-22 08:04,194.34,2024-11-28 09:14,192.00,234,win,chart_pattern_work/extracted_images/D-B3A916C1_trade10_img015.png,medium,売買区分欄は買いだがチャート注記Sエントリー・pips+234と整合し売りと判断
T-65028391,D-B61815CB,2,GBPJPY,buy,1H,2024-09-24 15:04,192.5,2024-09-27 17:56,191.23,-127.9,loss,chart_pattern_work/extracted_images/D-B61815CB_trade02_img004.png,high,
T-5601242C,D-BFC89A64,1,GBPJPY,buy,1H,2024-10-03 10:00,194.363,2024-10-03 14:00,193.130,-123.3,loss,chart_pattern_work/extracted_images/D-BFC89A64_trade01_img001.png,high,
T-5601242C,D-BFC89A64,3,XAUUSD,sell,1H,2024-10-09 22:00,2609.88,2024-10-10 21:30,2627.09,-172.1,loss,chart_pattern_work/extracted_images/D-BFC89A64_trade03_img005.png,high,通貨表記GOLD
T-5601242C,D-BFC89A64,5,XAUUSD,buy,1H,2024-10-18 10:30,2698.89,2024-10-23 22:00,2736.38,374.9,win,chart_pattern_work/extracted_images/D-BFC89A64_trade05_img009.png,high,通貨表記GOLD
T-5601242C,D-BFC89A64,6,GBPJPY,buy,1H,2024-10-23 17:00,197.907,2024-10-24 02:00,197.131,-77.6,loss,chart_pattern_work/extracted_images/D-BFC89A64_trade06_img012.png,high,
T-5601242C,D-BFC89A64,7,GBPJPY,buy,1H,2024-10-28 17:00,198.931,2024-10-31 15:00,197.461,-147,loss,chart_pattern_work/extracted_images/D-BFC89A64_trade07_img014.png,high,
T-5601242C,D-BFC89A64,8,XAUUSD,buy,1H,2024-10-29 15:00,2755.18,2024-10-31 23:00,2744.92,-102.6,loss,chart_pattern_work/extracted_images/D-BFC89A64_trade08_img016.png,high,通貨表記GOLD
T-229592CF,D-C04EAEF6,4,XAUUSD,buy,1H,2025-02-20 16:15,2948.634,2025-02-26 00:24,2915.00,-33.634,loss,chart_pattern_work/extracted_images/D-C04EAEF6_trade04_img007.png,high,
T-C0593442,D-C6D3CF1D,1,GBPJPY,buy,1H,2024-09-20 11:25,189.169,2024-09-20 12:07,188.70,-46.9,loss,chart_pattern_work/extracted_images/D-C6D3CF1D_trade01_img001.png,high,
T-C0593442,D-C6D3CF1D,6,GBPJPY,buy,1H,2024-10-01 19:21,191.44,2024-10-01 22:34,191.00,-44,loss,chart_pattern_work/extracted_images/D-C6D3CF1D_trade06_img010.png,high,
T-C0593442,D-C6D3CF1D,8,GBPJPY,buy,1H,2024-10-07 14:40,194.808,2024-10-07 16:38,194.30,-50.8,loss,chart_pattern_work/extracted_images/D-C6D3CF1D_trade08_img013.png,high,
T-64854690,D-CC1E2C02,1,GBPJPY,sell,1H,2024-09-14 03:00,184.934,2024-09-16 23:00,185.46,-53,loss,chart_pattern_work/extracted_images/D-CC1E2C02_trade01_img001.png,high,
T-64854690,D-CC1E2C02,4,GBPJPY,buy,1H,2024-09-26 23:00,193.727,2024-09-27 15:00,193.81,8,win,chart_pattern_work/extracted_images/D-CC1E2C02_trade04_img011.png,high,
T-64854690,D-CC1E2C02,6,GBPJPY,buy,1H,2024-10-02 19:00,192.134,2024-10-03 14:00,193.70,156,win,chart_pattern_work/extracted_images/D-CC1E2C02_trade06_img014.png,high,
T-37A4026E,D-CC65C7F6,1,GBPJPY,buy,1H,2024-09-25 21:25,193.281,2024-09-27 15:00,193.74,54.5,win,chart_pattern_work/extracted_images/D-CC65C7F6_trade01_img001.png,high,
T-37A4026E,D-CC65C7F6,4,GBPUSD,sell,1H,2024-10-03 23:20,1.3108,2024-10-04 19:00,1.3170,-62,loss,chart_pattern_work/extracted_images/D-CC65C7F6_trade04_img008.png,medium,価格表記131.08/131.70を1.3108/1.3170に正規化
T-37A4026E,D-CC65C7F6,5,GBPJPY,buy,1H,2024-10-14 22:45,195.45,2024-10-16 10:00,194.6,-85.2,loss,chart_pattern_work/extracted_images/D-CC65C7F6_trade05_img010.png,high,
T-37A4026E,D-CC65C7F6,6,GBPJPY,buy,1H,2024-10-23 12:30,195.969,2024-10-24 02:00,197.26,129,win,chart_pattern_work/extracted_images/D-CC65C7F6_trade06_img013.png,high,
T-37A4026E,D-CC65C7F6,8,XAUUSD,buy,1H,2024-10-31 12:40,2786.36,2024-10-31 22:50,2755.00,-32,loss,chart_pattern_work/extracted_images/D-CC65C7F6_trade08_img017.png,high,
T-56884632,D-D1AB5BA3,2,XAUUSD,buy,1H,2025-01-24 18:23,2777.24,2025-01-25 02:47,2774.35,-28.9,loss,chart_pattern_work/extracted_images/D-D1AB5BA3_trade02_img003.png,high,
T-56884632,D-D1AB5BA3,4,GBPJPY,sell,1H,2025-02-07 08:58,188.016,2025-02-07 10:45,188.471,-45.5,loss,chart_pattern_work/extracted_images/D-D1AB5BA3_trade04_img007.png,high,
T-56884632,D-D1AB5BA3,6,GBPJPY,sell,1H,2025-02-11 15:51,187.788,2025-02-12 04:33,189.600,-181.2,loss,chart_pattern_work/extracted_images/D-D1AB5BA3_trade06_img011.png,high,
T-0AFD7973,D-D50D7C66,5,GBPJPY,sell,1H,2025-01-09 13:02,194.86,2025-01-14 19:25,192.32,254,win,chart_pattern_work/extracted_images/D-D50D7C66_trade05_img009.png,high,
T-37A4026E,D-F2164363,1,XAUUSD,buy,1H,2025-01-09 20:10,2669.05,2025-01-10 21:20,2672,3.2,win,chart_pattern_work/extracted_images/D-F2164363_trade01_img001.png,medium,決済日表記2024/6/2は誤記(エントリー後の日付)
T-37A4026E,D-F2164363,2,XAUUSD,buy,1H,2025-01-16 06:20,2695.6,2025-01-20 08:30,2698,2.5,win,chart_pattern_work/extracted_images/D-F2164363_trade02_img003.png,high,
T-37A4026E,D-F2164363,3,XAUUSD,buy,1H,2025-01-21 23:15,2473.0,2025-01-23 18:30,2474.4,14,win,chart_pattern_work/extracted_images/D-F2164363_trade03_img005.png,low,価格24730/24744を2473.0/2474.4に正規化したが同時期金価格(~2740)と不整合・要確認
T-37A4026E,D-F2164363,5,XAUUSD,buy,1H,2025-01-31 12:15,2798,2025-02-03 10:30,2785,-13,loss,chart_pattern_work/extracted_images/D-F2164363_trade05_img009.png,high,
T-37A4026E,D-F2164363,6,XAUUSD,buy,1H,2025-02-03 23:30,2817,2025-02-12 22:30,2872,49.8,win,chart_pattern_work/extracted_images/D-F2164363_trade06_img011.png,high,
T-901BE1B1,D-F2EB0D28,1,GBPJPY,buy,1H,2024-09-19 19:03,187.36,2024-09-27 15:30,192.40,502.9,win,chart_pattern_work/extracted_images/D-F2EB0D28_trade01_img001.png,high,
T-75DE4F66,D-28D3622F,3,GBPJPY,buy,1H,2024-09-20 17:18,191.015,2024-09-27 15:23,192.29,127,win,chart_pattern_work/extracted_images/D-28D3622F_trade03_img005.png,high,
T-226EA9DE,D-387EDAD6,1,GBPJPY,sell,1H,2024-09-16 12:33,184.409,2024-09-16 23:06,185.64,-123.1,loss,chart_pattern_work/extracted_images/D-387EDAD6_trade01_img001.png,high,
